파일명, 대사
start_001.mp3, 달리기 시작. 오늘도 과거의 너와 경쟁한다.
start_002.mp3, 좋아. 처음 1분은 힘을 아끼면서 리듬부터 잡자.
start_003.mp3, 출발했어. 끝까지 버텨라.
warmup_001.mp3, 좋아. 지금 리듬 괜찮아.
warmup_002.mp3, 호흡은 길게, 발은 가볍게.
warmup_003.mp3, 초반은 차분하게. 몸을 천천히 깨우자.
ahead_001.mp3, 어제의 너보다 앞서고 있어. 이 페이스 유지해.
ahead_002.mp3, 조금 앞서고 있어. 지금 흐름 좋아.
ahead_003.mp3, 꽤 앞서고 있어. 욕심내지 말고 유지하자.
behind_001.mp3, 조금 뒤처졌어. 호흡부터 다시 잡자.
behind_002.mp3, 아직 충분히 따라갈 수 있어.
behind_003.mp3, 괜찮아. 리듬을 되찾으면 다시 붙을 수 있어.
close_001.mp3, 거의 따라잡았어. 지금부터 집중하자.
close_002.mp3, 차이가 거의 없어. 한 번만 더 밀어붙여.
close_003.mp3, 바로 앞이야. 흔들리지 말고 따라가자.
halfway_001.mp3, 절반을 넘었어. 지금부터 버티는 사람이 이긴다.
halfway_002.mp3, 반 이상 왔어. 페이스를 안정적으로 가져가자.
halfway_003.mp3, 중간 지점 통과. 아직 힘은 남아 있어.
one_km_left_001.mp3, 마지막 1킬로미터야. 지금부터가 진짜 승부다.
one_km_left_002.mp3, 1킬로미터 남았어. 여기서 포기하면 안 돼.
one_km_left_003.mp3, 마지막 구간이야. 자세 무너지지 않게 버텨.
finish_push_001.mp3, 끝이 보인다. 마지막까지 밀어붙여.
finish_push_002.mp3, 지금부터 마무리야. 한 걸음만 더 버텨.
finish_push_003.mp3, 마지막 힘을 꺼낼 시간이야.
personal_record_001.mp3, 개인 기록이 보인다. 이 페이스면 충분해.
personal_record_002.mp3, 오늘 기록 좋다. 끝까지 유지해.
personal_record_003.mp3, 새 기록에 가까워지고 있어. 흔들리지 마.
tired_001.mp3, 힘든 구간이야. 어깨 힘 빼고 호흡을 길게 가져가.
tired_002.mp3, 다리가 무거워도 리듬은 놓치지 마.
tired_003.mp3, 지금 힘든 건 정상이다. 한 번 더 버텨.
slow_down_001.mp3, 호흡이 거칠면 살짝 늦춰도 괜찮아.
slow_down_002.mp3, 무리하지 말고 자세부터 다시 세우자.
slow_down_003.mp3, 속도보다 완주가 먼저야. 안정적으로 가자.
completed_001.mp3, 러닝 완료. 오늘도 끝까지 버텼다.
completed_002.mp3, 끝냈어. 오늘의 너는 어제보다 강해졌다.
completed_003.mp3, 완주 성공. 이 기록은 네가 만든 거야.
